batch_size,epoch,average_memory_utilization,average_gpu_utilization,training_time
100,40,11.59,31.0,39.67895865440369
100,40,13.03,30.4,76.06126952171326
100,40,11.909999999999998,27.23333333333333,108.78066086769104
100,40,11.5475,28.725,142.84151124954224
110,40,11.81,26.4,36.60129594802856
110,40,11.8,24.65,72.67778086662292
110,40,11.8,23.933333333333334,109.20673561096191
110,40,11.947500000000002,25.75,147.00794291496277
120,40,11.69,23.1,34.80764174461365
120,40,11.795,26.15,69.06691789627075
120,40,11.753333333333332,24.53333333333333,104.89221787452698
120,40,11.7975,20.675,137.77563643455505
130,40,11.75,27.5,33.08255171775818
130,40,11.54,25.0,65.57391023635864
130,40,12.473333333333333,22.83333333333333,98.44582986831664
130,40,12.875,23.3,128.26632261276245
140,40,11.68,25.2,31.180886030197144
140,40,11.83,18.9,60.69901394844055
140,40,11.573333333333332,20.23333333333333,93.0483090877533
140,40,11.55,23.675,124.8501467704773
150,40,11.34,28.8,30.42234492301941
150,40,11.565,22.85,59.57597255706787
150,40,11.483333333333333,25.33333333333333,88.23741030693054
150,40,11.4725,24.2,118.69512605667114
160,40,11.47,24.8,28.78869318962097
160,40,11.685,29.15,56.48676133155823
160,40,11.560000000000002,24.0,86.74621367454529
160,40,11.42,22.9,115.28985714912416
170,40,11.15,20.3,28.397871255874637
170,40,11.41,22.5,55.4415774345398
170,40,11.326666666666664,25.53333333333333,83.09096550941467
170,40,12.245,23.025,112.17794156074524
180,40,12.38,24.4,28.132087230682373
180,40,12.57,30.35,54.99588465690613
180,40,12.543333333333331,24.03333333333333,85.15937924385071
180,40,13.9875,22.25,111.88349604606628
190,40,13.88,23.5,27.90323281288147
190,40,12.815,25.05,54.810190200805664
190,40,13.196666666666667,25.0,82.36558604240417
190,40,12.977499999999996,28.075,108.9342770576477
200,40,12.13,24.8,25.00289726257324
200,40,12.205000000000002,30.45,48.4489586353302
200,40,12.183333333333334,33.13333333333333,73.80121302604675
200,40,12.205,29.7,95.81519389152528
210,40,12.49,34.1,26.478688716888428
210,40,12.695,26.9,51.67641830444336
210,40,12.816666666666668,25.133333333333333,77.7805027961731
210,40,12.765,25.225,102.69777631759644
220,40,12.55,26.7,26.051742553710938
220,40,12.715,26.0,50.88947629928589
220,40,12.54,25.53333333333333,77.156564950943
220,40,12.9275,24.925,102.29621410369872
230,40,12.32,28.2,25.837278127670288
230,40,12.31,30.9,49.40944457054138
230,40,12.653333333333332,29.4,74.46313571929932
230,40,12.6725,28.2,99.615638256073
240,40,12.31,29.9,24.72756147384644
240,40,12.55,28.05,48.61077666282654
240,40,12.32,25.866666666666667,73.1104621887207
240,40,12.66,28.25,98.85287952423096
250,40,11.89,35.5,22.06777262687683
250,40,11.810000000000002,27.6,42.31928753852844
250,40,11.983333333333336,31.966666666666665,64.32494521141052
250,40,12.0725,32.45,85.58651638031006
260,40,12.459999999999996,31.6,23.965734720230103
260,40,12.595,23.55,46.839372634887695
260,40,12.559999999999995,22.6,70.93534851074219
260,40,12.697500000000002,26.75,94.25219249725342
270,40,12.54,27.5,23.390531539916992
270,40,12.19,28.2,45.76229405403137
270,40,12.64666666666667,31.066666666666663,68.83390974998474
270,40,12.7275,22.25,91.99908995628356
280,40,12.35,25.7,22.795507431030277
