batch_size,epoch,average_memory_utilization,average_gpu_utilization,training_time
100,10,6.9799999999999995,70.4,62.5261812210083
100,20,7.3,68.3,121.46780943870544
100,30,7.336666666666668,73.4,182.12293934822083
100,40,7.33,73.65,242.6415410041809
110,10,7.37,64.7,68.89810609817505
110,20,7.4,62.45,135.81666159629822
110,30,7.423333333333335,62.53333333333333,205.10015296936035
110,40,7.43,62.7,272.112158536911
120,10,7.3,64.3,66.77526998519897
120,20,7.355000000000001,64.3,131.61266779899597
120,30,7.286666666666666,65.46666666666667,199.10801219940186
120,40,7.2575,65.0,264.64493227005005
130,10,7.249999999999998,66.0,65.23220086097717
130,20,7.1899999999999995,66.3,130.29638385772705
130,30,7.1933333333333325,67.6,193.71586084365845
130,40,7.1775,66.6,257.435613155365
140,10,7.05,67.8,63.8779616355896
140,20,7.08,68.7,126.2637574672699
140,30,7.070000000000001,68.16666666666667,188.94621515274048
140,40,7.0175,68.15,252.09110713005066
150,10,7.0200000000000005,70.4,63.00595736503601
150,20,7.05,68.9,124.43420386314392
150,30,7.053333333333332,69.3,185.723548412323
150,40,7.077500000000001,69.375,247.45584273338318
160,10,6.95,65.8,61.22813391685486
160,20,6.95,70.35,121.66182684898376
160,30,6.993333333333334,68.9,181.7232484817505
160,40,6.902500000000001,70.4,242.8898196220398
170,10,6.910000000000001,72.0,60.18516516685486
170,20,6.789999999999999,68.05,119.8538224697113
170,30,6.880000000000001,71.93333333333334,179.30166029930115
170,40,6.865,71.175,238.6576201915741
180,10,6.9,73.1,59.0871307849884
180,20,6.870000000000002,71.4,117.292471408844
180,30,6.916666666666666,72.6,174.74031496047974
180,40,6.852500000000001,73.425,232.44449496269226
190,10,6.869999999999999,74.1,58.46005940437317
190,20,6.8950000000000005,73.95,114.48762798309326
190,30,6.83,73.36666666666666,172.7293825149536
190,40,6.8325000000000005,73.85,229.23936486244202
200,10,7.0,87.0,51.13653373718262
200,20,6.935,80.5,101.22070360183716
