batch_size,epoch,average_memory_utilization,average_gpu_utilization,training_time
100,10,0.817153472,20.4,12.784940481185913
100,20,0.856932032,19.95,25.439823389053345
100,30,0.8947440213333334,20.466666666666665,37.4516921043396
100,40,0.9276553280000001,19.95,51.43391013145447
200,10,0.967580544,22.2,7.575110197067261
200,20,1.000002272,23.25,15.288221597671509
200,30,1.0358426453333336,24.1,22.6830792427063
200,40,1.044552048,23.025,31.59251070022583
300,10,0.87792672,23.8,6.256272554397583
300,20,0.91819632,23.7,12.667362928390503
300,30,0.9531606400000001,23.4,19.13043761253357
300,40,0.9888431520000001,23.725,25.349933385849
400,10,1.024653184,26.3,5.166899681091309
400,20,1.06564256,27.25,10.190563440322876
400,30,1.102623616,27.1,15.206601619720459
400,40,1.1380010239999998,26.475,20.46774649620056
500,10,1.1485459199999999,25.8,4.492523431777954
500,20,1.168930112,28.3,9.253562450408936
500,30,1.1831906986666667,27.6,13.80960988998413
500,40,1.228123696,29.175,18.03473734855652
600,10,1.005599232,27.9,4.409627676010132
600,20,1.02224192,30.65,8.310136795043945
600,30,1.062007765333333,30.333333333333332,12.292171239852905
600,40,1.096729888,30.425,16.70423674583435
700,10,1.133233792,29.5,4.30374813079834
700,20,1.142315296,28.15,8.56260871887207
700,30,1.1495665279999998,28.9,12.726803064346313
700,40,1.1937622559999999,28.45,17.20730233192444
800,10,1.2342229759999999,29.4,3.526949644088745
800,20,1.2691299839999997,32.35,7.124504089355469
800,30,1.3061045546666668,32.8,10.470657587051392
800,40,1.341373376,32.75,14.08807373046875
