batch_size,epoch,average_memory_utilization,average_gpu_utilization,training_time,loss,accuracy
100,10,8.153595494400001,75.8,62.46330690383911,0.5837253332138062,0.8027999997138977
100,20,9.205231616,68.9,121.09754085540771,0.4529047906398773,0.8529000282287598
100,30,10.110990609066667,70.36666666666666,181.35683941841125,0.49089330434799194,0.8561999797821045
100,40,10.895857356799999,72.275,242.00263571739197,0.487321674823761,0.8585000038146973
200,10,9.0739290112,83.6,51.291327476501465,0.6013057827949524,0.7967000007629395
200,20,10.067741081600001,86.4,100.30197310447693,0.483471542596817,0.8457000255584717
200,30,10.952043588266665,86.93333333333334,150.39337396621704,0.5477759838104248,0.8353000283241272
200,40,11.8694019072,86.225,200.25092196464539,0.47311773896217346,0.8571000099182129
300,10,9.8210910208,82.6,52.33027410507202,0.7451314330101013,0.7559000253677368
300,20,10.6079387648,83.75,102.01771354675293,0.5074918270111084,0.835099995136261
300,30,11.492934041600002,83.43333333333334,152.87724375724792,0.5809729695320129,0.8288999795913696
300,40,12.091566489600002,83.65,203.16286206245422,0.4684031307697296,0.8611999750137329
400,10,10.0335828992,90.3,47.69060158729553,0.6429282426834106,0.7797999978065491
400,20,10.6965573632,90.85,92.59940791130066,0.48506850004196167,0.8396999835968018
400,30,11.413224243199998,92.2,138.2047176361084,0.4788283705711365,0.8513000011444092
400,40,12.0938309632,91.725,184.01594972610474,0.5214091539382935,0.8489999771118164
500,10,12.9260814336,92.0,46.57342576980591,0.6127439737319946,0.7910000085830688
500,20,9.8625153024,91.55,91.29128289222717,0.5424940586090088,0.8259000182151794
500,30,10.71613952,93.4,136.72400522232056,0.5771101713180542,0.8205999732017517
500,40,11.5361482752,93.375,181.54761385917664,0.5455837845802307,0.8424999713897705
600,10,12.277770649599999,90.3,48.159499645233154,0.6687041521072388,0.7667999863624573
600,20,10.020912127999999,90.25,93.62942314147949,0.5570852160453796,0.8166999816894531
600,30,10.613969578666664,90.2,140.13307428359985,0.5439736247062683,0.8259000182151794
600,40,11.3499656192,90.475,186.73956179618835,0.5387163162231445,0.8389999866485596
700,10,11.8720335872,90.4,47.778746366500854,0.733687162399292,0.7461000084877014
700,20,9.9749777408,91.35,92.96256637573242,0.6964444518089294,0.7789999842643738
700,30,10.70225995093333,91.66666666666667,138.39502120018005,0.5533996820449829,0.8291000127792358
700,40,11.515911884800001,91.85,183.84721851348877,0.5338625311851501,0.8396000266075134
800,10,12.2513809408,92.6,47.48143815994263,0.6899411678314209,0.7577999830245972
800,20,10.3444512768,92.3,92.09007096290588,0.556599497795105,0.8145999908447266
800,30,11.147159961599998,92.06666666666666,137.20009303092957,0.5137495994567871,0.8375999927520752
800,40,11.907585536000001,92.85,182.36055707931519,0.5279353260993958,0.8439000248908997
